Algorithms,TP,FP,TN,FN,TPR,TNR,PPV,Accuracy,F-score,G-mean,AUC,Tree Size,Training Size,Max. Values,N. Iters,N. Layers,N. Neurons,N. Trees
Decision Tree,452,40,1460,48,0.904,0.9733333333333334,0.9186991869918699,0.956,0.9112903225806451,0.9380262967173859,0.9542793333333334,108,,,,,,
KNN,477,24,1476,23,0.954,0.984,0.9520958083832335,0.9765,0.953046953046953,0.9688838939728537,0.9937826666666667,,2000,,,,,
Naive Bayes,439,68,1432,61,0.878,0.9546666666666667,0.8658777120315582,0.9355,0.8718967229394241,0.9155311755114259,0.9790773333333359,,,20,,,,
Neural Network,475,16,1484,25,0.95,0.9893333333333333,0.9674134419551935,0.9795,0.958627648839556,0.9694672076283275,0.9986626666666667,,,,100,10,10,
Random Forest,477,36,1464,23,0.954,0.976,0.9298245614035088,0.9705,0.9417571569595261,0.964937303662782,0.9959126666666667,,,,,,,100
