Dataset,TP,FP,TN,FN,TPR,TNR,PPV,Accuracy,F-score,G-mean,AUC
Heart Failure,250.0,131.0,377.0,160.0,0.6097560975609756,0.7421259842519685,0.6561679790026247,0.6830065359477124,0.632111251580278,0.6726929790447336,0.7119238525062416
Mobile Price,477.0,24.0,1476.0,23.0,0.954,0.984,0.9520958083832336,0.9765,0.953046953046953,0.9688838939728536,0.9937826666666668
Bank Marketing,34761.0,2344.0,2296.0,1787.0,0.9511053956440844,0.4948275862068965,0.9368279207653954,0.8997037972224919,0.9439126715816056,0.6860271038048844,0.8391000598410028
Tanzania Watter Pump,21056.0,12274.0,10550.0,11203.0,0.652717071204935,0.4622327374693305,0.6317431743174318,0.5737886462247881,0.6420588818246963,0.5492787986223582,0.5815489231332798
