Dataset,TP,FP,TN,FN,TPR,TNR,PPV,Accuracy,F-score,G-mean,AUC
Heart Failure,342.0,68.0,440.0,68.0,0.8341463414634146,0.8661417322834646,0.8341463414634146,0.8518518518518519,0.8341463414634146,0.8499935041946123,0.9195650086422128
Mobile Price,439.0,68.0,1432.0,61.0,0.878,0.9546666666666668,0.8658777120315582,0.9355,0.8718967229394241,0.915531175511426,0.979077333333336
Bank Marketing,32976.0,2128.0,2512.0,3572.0,0.9022655138448068,0.5413793103448276,0.939380127620784,0.8616101777216665,0.920448836040864,0.6989047729363586,0.8337142428190758
Tanzania Watter Pump,25860.0,7853.0,14971.0,6399.0,0.8016367525341765,0.6559323519102699,0.7670631507133746,0.7412631846486212,0.7839689565270116,0.7251341120561448,0.8061960786908655
