Dataset,TP,FP,TN,FN,TPR,TNR,PPV,Accuracy,F-score,G-mean,AUC
Heart Failure,337.0,45.0,463.0,73.0,0.8219512195121951,0.9114173228346456,0.8821989528795812,0.8714596949891068,0.8510101010101011,0.8655290751837729,0.9158488573074725
Mobile Price,475.0,16.0,1484.0,25.0,0.95,0.9893333333333332,0.9674134419551936,0.9795,0.958627648839556,0.9694672076283276,0.9986626666666668
Bank Marketing,35338.0,2349.0,2291.0,1210.0,0.9668928532341032,0.49375,0.937670814869849,0.9135913372827036,0.9520576547450664,0.6909438083406917,0.9365979505459028
Tanzania Watter Pump,27441.0,9061.0,13763.0,4818.0,0.8506463312563936,0.603005608131791,0.7517670264643034,0.7480347838716119,0.79815593141461,0.7162014439278509,0.8067064270611182
