Dataset,TP,FP,TN,FN,TPR,TNR,PPV,Accuracy,F-score,G-mean,AUC
Heart Failure,342.0,51.0,457.0,68.0,0.8341463414634146,0.8996062992125984,0.8702290076335878,0.8703703703703703,0.8518057285180572,0.8662582197275999,0.9284592855771078
Mobile Price,477.0,36.0,1464.0,23.0,0.954,0.976,0.9298245614035088,0.9705,0.941757156959526,0.964937303662782,0.9959126666666668
Bank Marketing,35551.0,2590.0,2050.0,997.0,0.9727208055160336,0.4418103448275862,0.9320940719960148,0.9129115276294066,0.9519741862924928,0.6555593905253789,0.9432906283140172
Tanzania Watter Pump,29981.0,5544.0,17280.0,2278.0,0.929384047862612,0.7570977917981072,0.8439408866995074,0.857996114953797,0.8846040363507612,0.8388293094361747,0.926109720280432
