Dataset,TP,FP,TN,FN,TPR,TNR,PPV,Accuracy,F-score,G-mean,AUC
Heart Failure,321.0,97.0,410.0,87.0,0.7867647058823529,0.8086785009861933,0.7679425837320574,0.7989071038251366,0.7772397094430993,0.7976463520770245,0.8428845784520835
Mobile Price,452.0,40.0,1460.0,48.0,0.904,0.9733333333333334,0.91869918699187,0.956,0.9112903225806452,0.938026296717386,0.9542793333333334
Bank Marketing,34381.0,2204.0,2259.0,1893.0,0.9478138611677784,0.5061617745910822,0.9397567309006424,0.8994280383926161,0.9437681000288228,0.6926378172975458,0.7463060357800604
Tanzania Watter Pump,27549.0,4760.0,17871.0,4478.0,0.8601804727261373,0.7896690380451593,0.8526726299173605,0.8309854001244099,0.8564100969907983,0.8241710298493142,0.8439850863629196
